genre,count
"45 min youth audiences Musical",1
"140 min Comedy/Drama",1
"bilingual drama",1
"Solo Play/Drama. - - Gay/Lesbian, of interest",1
"Gay/Lesbian, historical characters",1
"35-45 min Comedy/Drama",1
"TYA 50 min",1
"Revival Of Play",1
"play with songs",1
"Gay Lesbian drama full length",1
"australifolk play",1
"Three alternating monologues",1
"Young people's Theatre , 35 min Youth audience",1
"35 min Play/Drama",1
"Comedy Drama, 85 min Comedy",1
"Intense studio piece with redemptive theme",1
"LGBT ten min play",1
"Translation, short monologue",1
"1h 20m Comedy Drama",1
"Thriller/Mystery",1
"folk musical 60 min",1
"45 mins Tragi/Comic",1
"comedy satire",1
"37 min One act",1
"Dance Musical, 80 min. - - Gay/Lesbian, musical",1
"Puppet play",1
"Absurd Drama Absurd",1
"Short Drama",1
"Gay one act 40 min",1
"Horror 2 one acts",1
"TS, various versions",1
"40 min piece",1
"Devised 70 min Piece",1
"43 min Youth audience",1
"Gay full length, Dark Comedy",1
"Play 2 act",1
"multi-cultural farce Farce",1
"Comedy Drama. - - Lesbian, full length",1
"Young people's Theatre , 50 min Youth audience",1
"Musical Play",1
"romantic comedy Comedy",1
"Historic",1
"Youth Drama, full length Youth audience",1
"Series of 8 scripts",1
"Photocopy typescript",1
"Musical satire",1
"thriller One act",1
"full length Musical",1
"Childrens Play Youth audience",1
"3 min One act",1
"90-115 min Dramatic/Comedic vaudeville",1
"1h 20m Comedy Solo Show",1
"Black comedy Comedy",1
"short comedy One act. - - Gay, theme/character, one act",1
"Musical/Opera Comedy 2h 0m",1
"1h 5m Comedy Solo Show",1
"7-9 min Comedy",1
"Play - One-act, Drama, Biblical",1
"Drama full length",1
"Brief 1 act",1
"70 min play",1
"25-35 min Comedy",1
"Monologue drama",1
"Dance & Physical theatre",1
"Romantic/ Relationship Themes - - Gay, one act",1
"30-40 min Comedy",1
"interactive site specific piece",1
"Stage play Three acts",1
"Drama / Thriller 15 min",1
"Short, 45-50 minutes Christmas Comedy",1
"Solo Dark Comedy- Multi-media",1
"murder mystery 90 min",1
"Comedy full length",1
"dark comedy Comedy. - - Gay, full length",1
"Gay and transgender one act",1
"Mystery Comedy Mystery",1
"Musical Comedy 60 min",1
"adaptation musical theatre",1
"two plays",1
"biographical drama with music",1
"Verse Play, 5 movements",1
"1h 0m National New Haven, CT",1
"64 min Play/Drama",1
"Contemporary, Tragedy 1 Hour",1
"33 min One act",1
"Solo Show Comedy 1h 5m",1
"Full length, Comedy/Drama",1
"Docudrama/Historic 90 min",1
"Devised Piece. - - Gay, full length",1
"Comedy Drama Comedy. - - Lesbian, theme/character, full length",1
"2h 15m Play/Drama",1
"2 act Musical",1
"100 min one act",1
"Play One act. - - AIDS, one act",1
"two act Play/Drama",1
"Russian comedy One act",1
"adult play",1
"Monologue of Nell Shipman",1
"piece of five short plays",1
"40-50 min Play/Drama",1
"Gay monologue play full length",1
"35 min solo Piece",1
"Transcripts",1
"comedy farce One act",1
"adaptation 100 min",1
"Didactic 1 act",1
"120 min Comedy/Drama",1
"Concert Of Songs",1
"verbatim music theatre drama",1
"Gay musical",1
"comedy, puppetry 50 min",1
"Clown/Mask Comedy, 60 min One act",1
"Children's 1 act Youth audience",1
"comedy monologue",1
"short comedic play cycle Play/Drama",1
"18 min Poetic Drama, radio play",1
"Theatre (music, drama) 45 min",1
"Dark Thriller",1
"East West, 2009)",1
"10 min comedy",1
"120-155 min Historical Drama",1
"4-6 min Play/Drama",1
"Pantomime With Songs Scottish Version",1
"satire 140 min",1
"pieces",1
"Monologue Play/Drama. - - AIDS, full length",1
"4-6 min Comedy",1
"Gay historical characers monologue",1
"Play about Magna Carta",1
"45 min Musical One act",1
"Epic",1
"musical 60 min",1
"Country Musical",1
"Multimedia",1
"stylised one act",1
"Children's Musical for ages 8-15 Youth audience",1
"Short dialogue One act",1
"60-75 min Comedy",1
"musical 75 min",1
"Play/Drama 100 min",1
"Full Length Musical, Dramatic Comedy",1
"urban storytelling",1
"2 act 130 mins Play/Drama",1
"physical comedy",1
"Drama, New writing, 50 minutes",1
"Comedy in three beds Comedy",1
"1h 0m Drama Comedy",1
"120 mins Play/Drama",1
"8-10 min Comedy/Drama",1
"TYA comedy",1
"1h 20m Drama Performance Art",1
"85 min Musical",1
"45 min verbatim piece",1
"historical, new writing 1 hour",1
"25-30 min Dark comedy",1
"15 Min",1
"Musical/Opera Comedy 1h 55m",1
"One act, Comedy/Drama",1
"Comedy Musical, 75 min Musical",1
"Satire / Comedy / adaptation / Parody (Charles Dickens)",1
"Romantic MeloDrama",1
"Caberet",1
"Gay full length comedy",1
"25-40 min Comedy",1
"Play/Drama One act",1
"Musical. - - Gay, theme/character, full length",1
"Historical Drama, One Act",1
"Comedy/Farce Farce",1
"Jazz, Music, 1 hour",1
"workshop performance",1
"play/Drama",1
"Drama / Improv 120 minutes",1
"Drama Biographical",1
"drama, modern",1
"Comedy/Satire Comedy",1
"humorous whodunit One act",1
"Comedy Performance art, 90 min",1
"Farcical Comedy One act",1
"Play with music",1
"Comic drama Translation",1
"musical piece",1
"MeloDrama",1
"Victorian/edwardian Comedy",1
"105 min Musical",1
"70 min musical",1
"Comedy, sketch",1
"psycho comedy 90 min",1
"2 acts Comedy",1
"TIE with music",1
"Suspense Play",1
"camping comedy",1
"romantic drama",1
"Gay historical character musical",1
"Site specific play",1
"Comedy - Drama",1
"Children's Play",1
"Summer pantomime",1
"Narrative",1
"60 min scenes",1
"Drama, mystery play",1
"Verse Tragedy",1
"2h 0m Play/Drama",1
"comic Drama One act",1
"Drama - Gay, full length",1
"Play/Post-apocalyptic Comedy-Drama",1
"tragicomic hip-hop concerto",1
"Multi-media Dance Drama",1
"Comedy/ Telling a Tale 30 min",1
"Full length rock opera",1
"Experimental Drama",1
"Poetic romance/drama 90 min",1
"Unhistorical Parable 3 act",1
"1h 30m Drama",1
"60-90 minutes Solo One act",1
"50 min Childrens play",1
"multimedia drama",1
"Musical one act. - - Gay/Lesbian musical",1
"Play about Robert Burns",1
"Children's 10 Min Rhyming play Youth audience",1
"2 act Christmas Pantomime Pantomime",1
"farce One act",1
"Drama 90 min",1
"Ritual/Pantomime",1
"guerilla theatre",1
"Fable",1
"5-10 min Play/Drama",1
"rock musical Musical",1
"Childrens play adaptation",1
"Dramatic Sketch",1
"2h 0m, Musical, Comedy",1
"Tragi-comedy Tragedy",1
"comedy Gay full length",1
"ghostly play",1
"0h 40m National Los Angeles, Ca",1
"One act Play",1
"90 min musical comedy Musical. - - Gay/Lesbian, musical",1
"Costume Play in 1 act for Women",1
"adaptation comedy",1
"0h 55m Solo Show Fringehigh",1
""intervation" Historical",1
"120 min Farce",1
"Comedy/solo show One act",1
"revue",1
"60-75 min Play/Drama",1
"Cameo of Old Scottish Life",1
"Drama 110 min",1
"ne-act farce adaptation",1
"adaptation One act",1
"Modern Satire",1
"Performance Poem Piece",1
"Vulgar MeloDrama",1
"adrift. Like Coleridge's ancient Mariner, Isaac abbas, a devoted and loving son, wanders in search for an answer; "how can I forgive myself for the choice I made." This World Premiere directed by Maggie Speer runs July 26-august 26 at Chicago's Greenhouse theater Center, 2257 N. Lincoln avenue, and is produced by Polarity ensemble theatre i/a/w azUSA Productions. www.davidalex.net or http://petheatre.com/adrift.php.",1
"Dance & Physical theatre / Puppetry 45 minutes",1
"35-40 min Dark comedy",1
"Comedy 15 min",1
"Music theatre compilation",1
"Full Length Violent play",1
"Full-Length 120 mins farce",1
"short comedy One act",1
"1h 30m Comedy",1
"20 min play",1
"One-act One-Woman Show",1
"Murder Drama",1
"One Act Play",1
"Comedy/farce",1
"1h 10m Solo Show Comedy",1
"2-5 min Comedy",1
"Children's 1 act Musical Youth audience",1
"80-90 min Comedy",1
"60-75 min Children's play",1
"70 mins. absurd comedy",1
"0h 50m Multi-Media Drama",1
"Dramatic Monologue",1
"Urdu Comedy Play",1
"Mono Drama",1
"play with songs 90 min",1
"Comedy Drama, 100 min Comedy",1
"Drama 100 min",1
"Monologues and Scenes",1
"translation, adaptation",1
"Bard Rap 90 min Musical",1
"Full-length one-act play",1
"Comedy. - - Gay, theme/character, full length",1
"short one act comedy",1
"One act ten minutes. - - Gay, one act",1
"comedy 35 min",1
"comedy thriller One act",1
"75-90 min Comedy/Drama",1
"contemporary, drama 1 hour",1
"historical play",1
"Comedy / Drama Comedy",1
"true drama",1
"Summer Pantomime",1
"One act. - - Gay, full length",1
"translation 100 min",1
"Three-act Scots Play",1
"Comedic tragedy. - - Lesbian, full length",1
"Funny Play",1
"For age 4 - 7",1
"Holiday Musical Comedy 105 min",1
"60 mins. Children's play",1
"Tranlation",1
"One person show. Multi-media Piece",1
"Musical one act. - - Gay, full length",1
"site specific show",1
"Ten minute play. - - Gay, one act",1
