publisher,count
"Contained in: ""Collision Course"" published by Random House 1968 -",1
"Catalyst, Canada, 1979 -",1
"Grove Press 1974",2
"Hutchinson 1968",1
"not available, -",2
"Playwrights Co-op, Toronto, 1987",1
"Lazy Bee Scripts, 1999 -",3
"http://Australianplays.org/ -",1
"Michael Weston Organisation, 200 -",1
"Cafe Theatre Scripts -",7
"Contained in: ""Three Comedies"" published by Ann Arbour Press 1969",3
"Published, 1995 -",1
"Prentice Hall THRee GeNReS, the Writing of Poetry, Fiction, and Drama, 1998",1
"Duplicated typescript. SPB. N.D., -",4
"Methuen Drama B0006D5LGe",1
"Heinemann, London, 1930",1
"Ekstasis Editions 2007",1
"Collins, 1958",1
"Warner Chappell Plays, London, 1991",1
"Amber Lane Press, Oxford, 1985 -",1
"Oberon Books, London, 1993",1
"Playscripts, Inc - New York, 2008 -",1
"in Relatively Speaking, Dramatists Play Service, NY,",1
"http://Australianplays.org/",12
"in FringeNYC 2012"" http://www.indietheaternow.com/Plays -",1
"Arts & Letters, 2013 -",1
"in "" South African Plays"" edited by Stephen Gray, Hern, London and Heinemann-Centaur, London, 1993published by Thekwini in cooperation with DE POPULIER, a progressive publishing house and performance space in amsterdam. Both organizations are no longer in existence",1
"Samuel French, Inc - New York (2012)",1
"Samuel French, London, -",3
"Contained in: ""New Play anthology"" published by Mississippi State University, 1994 -",1
"Bloomsbury Publishing",2
"(Scottish Plays No. 199). Brown, Son & Ferguson. N.D., -",1
"the Australian Script Centre (11 Jan 2012) -",1
"Playwrights Co-Op, Toronto, 1973 -",3
"Random House Inc (T); 1st edition (June 1981) 78-",1
"Samuel French Ltd, London 1905 -",2
"Playscripts, Inc -",2
"in Plays For Children, ed Helen Rose, Faber, London, 2000",1
"Talonbooks",1
"the authorHouse Bookstore, 2008 -",1
"Contained in ""Hungry"" published by aran Press, -",3
"Faber and Faber, London, 1970",1
"Contained in: ""Say Word - Voices From Hip Hop Theater"" published by University of Michigan Press 2011",1
"Allen and Miles, London, 1976 -",1
"The Best Women's Stage Monologues, 2000 -",1
"in ""New Writers 4"", Calder and Boyars, London, 1965 -",1
